DUTCH,
aankomen,
aansteken,
aanwijzen,
afbreken,
afhangen,
aflopen,
afnemen,
afsnijden,
bedriegen,
beginnen,
begraven,
begrijpen,
bestaan,
besluiten,
bewegen,
bidden,
bijten,
blazen,
blijven,
breken,
buigen,
doen,
doodgaan,
doorgaan,
doorgeven,
dragen,
drijven,
drinken,
duiken,
eten,
fluiten,
gaan,
gedragen,
genezen,
genieten,
geven,
glijden,
graven,
hangen,
helpen,
houden,
kiezen,
kijken,
klimmen,
klinken,
knijpen,
komen,
krijgen,
krimpen,
kruipen,
laten,
lezen,
liegen,
liggen,
lijden,
lijken,
lopen,
moeten,
nemen,
onderwijzen,
ontbijten,
ontnemen,
ontvangen,
opblazen,
opnemen,
opschrijven,
opschuiven,
overlijden,
overwegen,
paardrijden,
rijden,
roepen,
ruiken,
schelden,
scheppen,
schijnen,
schrijven,
slaan,
slapen,
sluiten,
smelten,
snijden,
spreken,
springen,
staan,
stelen,
sterven,
strijden,
trekken,
terugkomen,
uitblazen,
uitgeven,
uittrekken,
uitvinden,
uitzenden,
vallen,
vangen,
varen,
vechten,
verbieden,
vergelijken,
vergeten,
vergeven,
verlaten,
verliezen,
vermijden,
vertrekken,
vinden,
vliegen,
voorkomen,
voorlezen,
vriezen,
wegen,
weten,
wijzen,
winnen,
worden,
zien,
zingen,
zinken,
zitten,
zwemmen,
zwerven,
zwijgen,
